Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,Source
Mitch Trubisky,CHI,QB,16,4101.9,20.9,14.3,314.6,3.3,0,0,0,0,0,0,0,ESPN
Tyrod Taylor,CLE,QB,16,3620.1,19.8,11,411.4,3.3,0,0,0,0,0,0,0,ESPN
Ezekiel Elliott,DAL,RB,16,0,0,0,1505.9,9.9,42.9,421.3,2.2,0,0,0,0,ESPN
Case Keenum,DEN,QB,16,4470.4,24.2,15.4,119.9,0,0,0,0,0,0,0,0,ESPN
Ryan Tannehill,MIA,QB,16,4386.8,23.1,18.7,194.7,1.1,0,0,0,0,0,0,0,ESPN
Alvin Kamara,NO,RB,16,0,0,0,990,8.8,80.3,798.6,4.4,0,0,0,0,ESPN
Eli Manning,NYG,QB,16,4431.9,25.3,16.5,29.7,1.1,0,0,0,0,0,0,0,ESPN
Derek Carr,OAK,QB,16,4238.3,25.3,14.3,83.6,0,0,0,0,0,0,0,0,ESPN
David Johnson,ARI,RB,16,0,0,0,999.9,7.7,85.8,917.4,3.3,0,0,0,0,ESPN
Andy Dalton,CIN,QB,16,4010.6,23.1,15.4,145.2,1.1,0,0,0,0,0,0,0,ESPN
Saquon Barkley,NYG,RB,16,0,0,0,1238.6,8.8,67.1,468.6,2.2,0,0,0,0,ESPN
Kareem Hunt,KC,RB,16,0,0,0,1184.7,9.9,58.3,458.7,2.2,0,0,0,0,ESPN
Antonio Brown,PIT,WR,16,0,0,0,0,0,121,1732.5,8.8,0,0,0,0,ESPN
Leonard Fournette,JAX,RB,16,0,0,0,1287,9.9,39.6,333.3,1.1,0,0,0,0,ESPN
Melvin Gordon,LAC,RB,16,0,0,0,1131.9,7.7,57.2,481.8,3.3,0,0,0,0,ESPN
Dalvin Cook,MIN,RB,16,0,0,0,1224.3,7.7,50.6,411.4,1.1,0,0,0,0,ESPN
Julio Jones,ATL,WR,16,0,0,0,13.2,0,103.4,1628,7.7,0,0,0,0,ESPN
Joe Flacco,BAL,QB,16,3619,20.9,15.4,57.2,1.1,0,0,0,0,0,0,0,ESPN
Devonta Freeman,ATL,RB,16,0,0,0,1048.3,8.8,49.5,422.4,2.2,0,0,0,0,ESPN
Jerick McKinnon,SF,RB,16,0,0,0,969.1,7.7,67.1,542.3,2.2,0,0,0,0,ESPN
DeAndre Hopkins,HOU,WR,16,0,0,0,0,0,103.4,1457.5,9.9,0,0,0,0,ESPN
Christian McCaffrey,CAR,RB,16,0,0,0,682,4.4,84.7,746.9,5.5,0,0,0,0,ESPN
LeSean McCoy,BUF,RB,16,0,0,0,1010.9,5.5,63.8,471.9,2.2,0,0,0,0,ESPN
Keenan Allen,LAC,WR,16,0,0,0,13.2,0,111.1,1441,7.7,0,0,0,0,ESPN
Michael Thomas,NO,WR,16,0,0,0,0,0,110,1387.1,8.8,0,0,0,0,ESPN
Odell Beckham Jr,NYG,WR,16,0,0,0,22,0,108.9,1422.3,7.7,0,0,0,0,ESPN
AJ Green,CIN,WR,16,0,0,0,0,0,97.9,1420.1,7.7,0,0,0,0,ESPN
Josh Rosen,ARI,QB,16,3133.9,15.4,11,96.8,1.1,0,0,0,0,0,0,0,ESPN
T.Y. Hilton,IND,WR,16,0,0,0,0,0,82.5,1358.5,7.7,0,0,0,0,ESPN
Davante Adams,GB,WR,16,0,0,0,1.1,0,94.6,1188,9.9,0,0,0,0,ESPN
Rob Gronkowski,NE,TE,16,0,0,0,0,0,79.2,1236.4,8.8,0,0,0,0,ESPN
Jordan Howard,CHI,RB,16,0,0,0,1021.9,7.7,29.7,222.2,1.1,0,0,0,0,ESPN
Adam Thielen,MIN,WR,16,0,0,0,13.2,0,93.5,1303.5,7.7,0,0,0,0,ESPN
Mike Evans,TB,WR,16,0,0,0,0,0,84.7,1177,8.8,0,0,0,0,ESPN
Stephen Gostkowski,NE,K,16,0,0,0,0,0,0,0,0,0,0,0,0,ESPN
